chain name,chain id,vendor name,vendor id
BIM,607413,"BIM, Haram E182",613067
BIM,607413,"BIM, Mokattam - Easy Sport Club E436",700478
BIM,607413,"BIM, El Zaitoun - Al Qebleya E286",613068
Carrefour,683840,"Carrefour, Madinaty - Open Air Mall",740947
Carrefour,683840,"Carrefour, Zahraa El Maadi - El Me'arag El Ouloy",740921
Carrefour,683840,"Carrefour, Mahdy Arafa - Nasr City",745260
Carrefour,683840,Carrefour - Silo Wahat,747593
Carrefour,683840,"Carrefour, Alex City Light",750954
Carrefour,683840,"Carrefour, City Center Almaza 267",785467
Carrefour,683840,"Carrefour, Zizinia Mall - Haram",747583
Carrefour,683840,"Carrefour, Shorouk - Sky Plaza",745258
Carrefour,683840,"Carrefour, Saraya Elkoba",747586
Carrefour,683840,"Carrefour, Silo - 15 May",745259
Carrefour,683840,"Carrefour, Avenue - Rehab",745261
Carrefour,683840,"Carrefour, Obour Hypermarket",743106
Carrefour,683840,"Carrefour, Vitali - New Cairo",743103
Carrefour,683840,"Carrefour, Mansoura University",760555
Carrefour,683840,"Carrefour, Ceramica Sheikh Zayed 223",801441
Carrefour,683840,"Carrefour, Down Town - New Cairo",743105
Carrefour,683840,"Carrefour, Ismalia",764776
Carrefour,683840,"Carrefour, Beverly Hills",747592
Carrefour,683840,"Carrefour, District 9 Hadaik 275",801126
Carrefour,683840,"Carrefour, Shokalany",747585
Carrefour,683840,"Carrefour, Mokattam - El Nafora",745256
Carrefour,683840,"Carrefour, Academy 750",777581
Carrefour,683840,"Carrefour, Mivida",760594
Carrefour,683840,"Carrefour, Suez E18",783171
Carrefour,683840,"Carrefour, Orouba Mall",760556
Carrefour,683840,"Carrefour, Alex Royal Plaza",750955
Carrefour,683840,"Carrefour, HCC/ Hurghada",769114
Carrefour,683840,"Carrefour, Sayeda Zainab 238",801448
Carrefour,683840,Shift templates LS EG,12345
Kheir Zaman,510637,"Kheir Zaman, Shobra - St. Teresa K013",700371
Kheir Zaman,510637,"Kheir Zaman, Sayeda - Zeinab K006",704635
Kheir Zaman,510637,"Kheir Zaman, Kheir Zaman MOHAMED FARID- NOZHA J098",709024
Kheir Zaman,510637,"Kheir Zaman, SAIS ST. HADAYEK HELWAN K089",718683
LuLu Hypermarket,607329,"LuLu Hypermarket, Tagammoa 1 - El Nakhil, Emerald",612846
LuLu Hypermarket,607329,"LuLu Hypermarket, Masaken Sheraton - District Sheraton",612847
LuLu Hypermarket,607329,"Lulu Hypermarket, Tagammoa 5 - Hay 1",772757
LuLu Hypermarket,607329,"Lulu Hypermarket, Tagammoa 5 - 90 St. Park Mall",694458
Mahmoud ElFar,629385,"Mahmoud ELFar , Arabella Plaza",647128
Mahmoud ElFar,629385,"Mahmoud ELFar, Madinaty B15",804829
Mahmoud ElFar,629385,"Mahmoud ELFar, North 90th",804887
Mahmoud ElFar,629385,"MAHMOUD ELFAR, Masaken Sheraton - Abdel Hamid Badwai",767442
Mahmoud ElFar,629385,"MAHMOUD ELFAR, 6th of October - Palm Hills",766704
Mahmoud ElFar,629385,"Mahmoud ELFar, Dokki - Mohy El Din Abou El Ezz",773424
Mahmoud ElFar,629385,"Mahmoud ELFar, Tagammoa 5 - 90 St. Companies - 2",773425
Metro Market,510624,"Metro Market, Mokattam - El Nafora Square M023",711724
Metro Market,510624,Metro Market - Rehab City M028,719872
Metro Market,510624,"Metro Market, Nasr City - Genena Mall M005",515851
Metro Market,510624,"Metro Market, Catalyst M055",716108
Metro Market,510624,Metro Market - PLAZA ESPANA M059,711722
Metro Market,510624,"Metro Market, Madinaty - Buildings Area (B1) M039",515854
Metro Market,510624,"Metro Market, Haram - El Arish M002",515839
Metro Market,510624,"Metro Market, PORT SAID M030",715356
Metro Market,510624,"Metro Market, Maqreezi M001",711723
Metro Market,510624,Metro Market - Shorouk M040,719875
Metro Market,510624,"Metro Market, Alahly M020",716106
Metro Market,510624,"Metro Market, Degla M038",715357
Metro Market,510624,"Metro Market, Maadi Corniche M003",711721
Metro Market,510624,"Metro Market, Semouha - Victor Emanouil M006",515850
Metro Market,510624,"Metro Market, Al-Manial M014",515849
Metro Market,510624,"Metro Market, - Ammar M010",715354
Metro Market,510624,"Metro Market, Agouza M008",515845
Metro Market,510624,"Metro Market, El-Yasmeen Mall M051",716105
Metro Market,510624,Metro Market - Zezinia M009,719873
Metro Market,510624,"Metro Market, Laselky M021",716109
Metro Market,510624,"Metro Market, Kobri El-Gamaa M045",750039
Metro Market,510624,"Metro Market, Thawra M035",750040
Metro Market,510624,"Metro Market, Lauran M044",515783
Metro Market,510624,"Metro Market, 6th of October - Palm Hills M048",771786
Metro Market,510624,"Metro Market, Zamalek Abo El Feda M012",515779
Metro Market,510624,"Metro Market, Syria M007",750041
Metro Market,510624,"Metro Market, El Mashaya M017",515837
Metro Market,510624,"Metro Market, HURGHADA2 M033",715361
Metro Market,510624,"Metro Market, Meet Hadar M049",515859
Metro Market,510624,"Metro Market, Mosadak M054",716107
Spinneys,648538,Spinneys - Nasr City 1 - El Serag Mall,678723
Spinneys,648538,"Spinneys, Mall of Arabia",678716
Spinneys,648538,"Spinneys, Ariana, Banks Center St, New Cairo 1, Cairo Governorate",678718
Spinneys,648538,"Spinneys, Tagamoa (The Gray Mall)",792485
Spinneys,648538,"Spinneys, Dokki",726848
Spinneys,648538,"Spinneys, Maadi Grand Mall, Street 250, Maadi as Sarayat Al Gharbeyah,",678720
Spinneys,648538,"Spinneys, Mokattam - El Nafora Square 9th 9، Al Abageyah",678721
Spinneys,648538,"Spinneys, Kafr Nassar، 46 Al Haram, st",678714
Spinneys,648538,"Spinneys, Nozha",747974
Spinneys,648538,"Spinneys, Mohandsein (Syria Street)",691248
Spinneys,648538,"Spinneys, Hub 50 Mall Zahraa Maadi",678724
Spinneys,648538,"Spinneys, Minya",741358
Spinneys,648538,"Spinneys, Obour",715329
Spinneys,648538,"Spinneys, Tagammoa 5 - AUC Pirl",678726
Spinneys,648538,"Spinneys, Brands Mall - El Kothar",768596
Spinneys,648538,Spinneys - Semouha - Semouha Alexandria,678719
Spinneys,648538,"Spinneys, Sheikh Zayed City - Estrada",735018
Spinneys,648538,"Spinneys, city Escape mall 6th of October - 4th District",678713
Spinneys,648538,"Spinneys, Maxim Mall Tagammoa 5",678717
Spinneys,648538,"Spinneys, Mansoura",716182
Spinneys,648538,"Spinneys, Gleem",728695
Spinneys,648538,"Spinneys, City plaza Mall El Shorouk",678725
Spinneys,648538,"Spinneys, Tanta",691247
Supeco,714499,"Supeco, Helwan",800512
Supeco,714499,"Supeco, Tagammoa 3 - 2nd District",791198